  
       XFOIL         Version 6.99
  
 Calculated polar for: G01A2                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -13.000  -0.8674   0.02016   0.01398  -0.0819   0.9241   0.2786
 -12.750  -0.8458   0.01964   0.01328  -0.0822   0.9123   0.2927
 -12.500  -0.8311   0.01939   0.01302  -0.0805   0.9000   0.3025
 -12.250  -0.8205   0.01917   0.01266  -0.0780   0.8904   0.3117
 -12.000  -0.8112   0.01916   0.01261  -0.0748   0.8813   0.3193
 -11.750  -0.8015   0.01908   0.01233  -0.0718   0.8745   0.3273
 -11.500  -0.7863   0.01910   0.01239  -0.0695   0.8674   0.3341
 -11.250  -0.7746   0.01908   0.01224  -0.0667   0.8609   0.3416
 -11.000  -0.7550   0.01900   0.01210  -0.0653   0.8562   0.3483
 -10.750  -0.7372   0.01904   0.01210  -0.0635   0.8517   0.3551
 -10.500  -0.7264   0.01903   0.01193  -0.0606   0.8465   0.3618
 -10.250  -0.7022   0.01897   0.01192  -0.0599   0.8422   0.3684
 -10.000  -0.6830   0.01899   0.01187  -0.0582   0.8381   0.3760
  -9.750  -0.6632   0.01893   0.01170  -0.0568   0.8345   0.3832
  -9.500  -0.6408   0.01896   0.01179  -0.0558   0.8307   0.3898
  -9.250  -0.6252   0.01902   0.01175  -0.0536   0.8267   0.3973
  -9.000  -0.6024   0.01893   0.01170  -0.0527   0.8231   0.4043
  -8.750  -0.5789   0.01894   0.01169  -0.0518   0.8197   0.4114
  -8.500  -0.5592   0.01885   0.01144  -0.0504   0.8164   0.4175
  -8.250  -0.5308   0.01861   0.01120  -0.0505   0.8136   0.4225
  -8.000  -0.5076   0.01855   0.01117  -0.0497   0.8105   0.4275
  -7.750  -0.4876   0.01850   0.01108  -0.0484   0.8069   0.4331
  -7.500  -0.4682   0.01842   0.01089  -0.0470   0.8035   0.4382
  -7.250  -0.4410   0.01823   0.01076  -0.0470   0.8003   0.4432
  -7.000  -0.4157   0.01815   0.01066  -0.0465   0.7973   0.4489
  -6.750  -0.3920   0.01808   0.01048  -0.0457   0.7946   0.4549
  -6.500  -0.3650   0.01798   0.01037  -0.0456   0.7923   0.4601
