  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA4421                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.5963   0.02073   0.01373  -0.1062   0.9217   0.1285
  -9.900  -0.5838   0.02053   0.01354  -0.1066   0.9203   0.1300
  -9.800  -0.5709   0.02034   0.01333  -0.1069   0.9190   0.1317
  -9.700  -0.5577   0.02015   0.01311  -0.1074   0.9178   0.1335
  -9.600  -0.5445   0.01999   0.01288  -0.1078   0.9167   0.1351
  -9.500  -0.5313   0.01967   0.01257  -0.1083   0.9157   0.1367
  -9.400  -0.5181   0.01939   0.01233  -0.1088   0.9147   0.1383
  -9.300  -0.5157   0.01934   0.01229  -0.1071   0.9097   0.1393
  -9.200  -0.5073   0.01921   0.01216  -0.1066   0.9066   0.1407
  -9.100  -0.4966   0.01906   0.01200  -0.1065   0.9044   0.1422
  -9.000  -0.4850   0.01889   0.01181  -0.1066   0.9025   0.1439
  -8.900  -0.4728   0.01873   0.01161  -0.1068   0.9008   0.1455
  -8.800  -0.4599   0.01859   0.01140  -0.1071   0.8994   0.1470
  -8.700  -0.4475   0.01825   0.01110  -0.1074   0.8980   0.1487
  -8.600  -0.4349   0.01800   0.01088  -0.1077   0.8967   0.1504
  -8.500  -0.4280   0.01791   0.01080  -0.1069   0.8932   0.1516
  -8.400  -0.4208   0.01781   0.01071  -0.1061   0.8894   0.1530
  -8.300  -0.4108   0.01768   0.01056  -0.1059   0.8866   0.1546
  -8.200  -0.3995   0.01753   0.01039  -0.1059   0.8843   0.1563
  -8.100  -0.3875   0.01739   0.01020  -0.1060   0.8823   0.1579
  -8.000  -0.3750   0.01726   0.01002  -0.1061   0.8804   0.1594
  -7.900  -0.3631   0.01696   0.00975  -0.1063   0.8787   0.1612
  -7.800  -0.3508   0.01674   0.00956  -0.1065   0.8771   0.1630
  -7.700  -0.3452   0.01667   0.00952  -0.1055   0.8727   0.1644
  -7.600  -0.3361   0.01657   0.00941  -0.1051   0.8693   0.1660
  -7.500  -0.3255   0.01644   0.00927  -0.1049   0.8664   0.1678
  -7.400  -0.3141   0.01631   0.00911  -0.1049   0.8639   0.1696
  -7.300  -0.3021   0.01618   0.00894  -0.1050   0.8616   0.1715
  -7.200  -0.2898   0.01604   0.00876  -0.1051   0.8596   0.1732
  -7.100  -0.2779   0.01580   0.00856  -0.1053   0.8576   0.1754
  -7.000  -0.2711   0.01571   0.00850  -0.1045   0.8534   0.1771
  -6.900  -0.2620   0.01561   0.00842  -0.1041   0.8498   0.1790
  -6.800  -0.2515   0.01551   0.00830  -0.1039   0.8467   0.1812
  -6.700  -0.2402   0.01540   0.00817  -0.1038   0.8439   0.1834
  -6.600  -0.2283   0.01530   0.00803  -0.1039   0.8414   0.1857
  -6.500  -0.2160   0.01515   0.00786  -0.1040   0.8391   0.1882
  -6.400  -0.2064   0.01501   0.00776  -0.1038   0.8359   0.1907
  -6.300  -0.1979   0.01493   0.00771  -0.1032   0.8318   0.1930
  -6.200  -0.1880   0.01485   0.00763  -0.1029   0.8282   0.1956
  -6.100  -0.1771   0.01477   0.00753  -0.1028   0.8250   0.1983
  -6.000  -0.1654   0.01470   0.00741  -0.1028   0.8221   0.2011
  -5.900  -0.1536   0.01455   0.00726  -0.1029   0.8196   0.2040
  -5.800  -0.1425   0.01443   0.00716  -0.1029   0.8168   0.2069
  -5.700  -0.1341   0.01437   0.00713  -0.1023   0.8127   0.2097
  -5.600  -0.1242   0.01432   0.00707  -0.1020   0.8088   0.2127
  -5.500  -0.1134   0.01425   0.00698  -0.1018   0.8053   0.2159
  -5.400  -0.1020   0.01418   0.00686  -0.1018   0.8021   0.2191
